# numberOfServers	1st + 3rd party	3rd party	 ad 3rd party 
0	336                 2390            4155		
1	2307                3840            2809		
2	3917                843             327		
3	591                 157             59		
4	85                  80              23		
5	81                  40              33		
6	43                  33              19		
7	31                  17              6		
8	13                  15              4		
9	13                  13              3		
10	11                  2               2		
11	2                   4               1		
12                  4                   1               1			
13	1                   4               1		
14                  4                   2               1			
15                  2                   1               0			
16                  1                   1               0			
17                  1                   0               0			
26                  0                   1               0			
27	1                   0               0		
